player_info,player_name,player_height,player_weight,player_nationality,last_attended,player_birthdate,nba_draft,years_of_experience,player_points_per_game,player_rebounds_per_game,player_assists_per_game,player_pie
Los Angeles Lakers | #33 | Center,"Kareem,Abdul-Jabbar","7'2"" (2.18m)",225lb (102kg),USA,UCLA,"April 16, 1947",1969 R1 Pick 1,20 Years,24.6,11.2,3.6,
Houston Rockets | #24 | Center,"Moses,Malone","6'10"" (2.08m)",215lb (98kg),USA,Petersburg HS (VA),"March 23, 1955",Undrafted,19 Years,20.6,12.2,1.4,
Washington Bullets | #11 | Forward,"Elvin,Hayes","6'9"" (2.06m)",235lb (107kg),USA,Houston,"November 17, 1945",1968 R1 Pick 1,16 Years,21.0,12.5,1.8,
Utah Jazz | #32 | Forward,"Karl,Malone","6'9"" (2.06m)",259lb (117kg),USA,Louisiana Tech,"July 24, 1963",1985 R1 Pick 13,20 Years,25.0,10.1,3.6,
Los Angeles Lakers | #6 | Forward,"LeBron,James","6'9"" (2.06m)",250lb (113kg),USA,St. Vincent-St. Mary HS (OH),37 years,"December 30, 1984",2003 R1 Pick 1,25.0,9.0,7.4,15.0
San Francisco Warriors | #13 | Center,"Wilt,Chamberlain","7'1"" (2.16m)",250lb (113kg),USA,Kansas,"August 21, 1936",1959 ,14 Years,30.1,22.9,4.4,
Dallas Mavericks | #41 | Forward,"Dirk,Nowitzki","7'0"" (2.13m)",245lb (111kg),Germany,DJK Wurzburg,"June 19, 1978",1998 R1 Pick 9,22 Years,20.7,7.5,2.4,
Los Angeles Lakers | #24 | Forward-Guard,"Kobe,Bryant","6'6"" (1.98m)",212lb (96kg),USA,Lower Merion HS (PA),"August 23, 1978",1996 R1 Pick 13,20 Years,25.0,5.2,4.7,
Chicago Bulls | #23 | Guard,"Michael,Jordan","6'6"" (1.98m)",216lb (98kg),USA,North Carolina,"February 17, 1963",1984 R1 Pick 3,15 Years,30.1,6.2,5.3,
Los Angeles Lakers | #34 | Center,"Shaquille,O'Neal","7'1"" (2.16m)",325lb (147kg),USA,Louisiana State,"March 6, 1972",1992 R1 Pick 1,19 Years,23.7,10.9,2.5,
Cincinnati Royals | #14 | Guard,"Oscar,Robertson","6'5"" (1.96m)",205lb (93kg),USA,Cincinnati,"November 24, 1938",1960 R1 Pick 1,14 Years,25.7,7.5,9.5,
Atlanta Hawks | #21 | Forward,"Dominique,Wilkins","6'8"" (2.03m)",230lb (104kg),USA,Georgia,"January 12, 1960",1982 R1 Pick 3,15 Years,24.8,6.7,2.5,
Houston Rockets | #34 | Center,"Hakeem,Olajuwon","7'0"" (2.13m)",255lb (116kg),Nigeria,Houston,"January 21, 1963",1984 R1 Pick 1,19 Years,21.8,11.1,2.5,
Boston Celtics | #34 | Forward,"Paul,Pierce","6'7"" (2.01m)",235lb (107kg),USA,Kansas,"October 13, 1977",1998 R1 Pick 10,20 Years,19.7,5.6,3.5,
Los Angeles Lakers | #7 | Forward,"Carmelo,Anthony","6'7"" (2.01m)",238lb (108kg),USA,Syracuse,"May 29, 1984",2003 R1 Pick 3,20 Years,22.5,6.2,2.7,
San Antonio Spurs | #21 | Center-Forward,"Tim,Duncan","6'11"" (2.11m)",250lb (113kg),US Virgin Islands,Wake Forest,"April 25, 1976",1997 R1 Pick 1,20 Years,19.0,10.8,3.0,
Minnesota Timberwolves | #21 | Forward,"Kevin,Garnett","6'11"" (2.11m)",240lb (109kg),USA,Farragut Academy HS (IL),"May 19, 1976",1995 R1 Pick 5,22 Years,17.8,10.0,3.7,
Boston Celtics | #17 | Forward,"John,Havlicek","6'5"" (1.96m)",203lb (92kg),USA,Ohio State,"April 8, 1940",1962 R1 Pick 7,16 Years,20.8,6.3,4.8,
Brooklyn Nets | #7 | Forward,"Kevin,Durant","6'10"" (2.08m)",240lb (109kg),USA,Texas,34 years,"September 29, 1988",2007 R1 Pick 2,32.5,5.6,4.4,17.9
Denver Nuggets | #2 | Forward,"Alex,English","6'8"" (2.03m)",190lb (86kg),USA,South Carolina,"January 5, 1954",1976 R2 Pick 23,15 Years,21.5,5.5,3.6,
Toronto Raptors | #15 | Guard-Forward,"Vince,Carter","6'6"" (1.98m)",220lb (100kg),USA,North Carolina,"January 26, 1977",1998 R1 Pick 5,23 Years,16.7,4.3,3.1,
Milwaukee Bucks | #34 | Guard,"Ray,Allen","6'5"" (1.96m)",205lb (93kg),USA,Connecticut,"July 20, 1975",1996 R1 Pick 5,18 Years,18.9,4.1,3.4,
New York Knicks | #33 | Center,"Patrick,Ewing","7'0"" (2.13m)",255lb (116kg),Jamaica,Georgetown,"August 5, 1962",1985 R1 Pick 1,17 Years,21.0,9.8,1.9,
