news,news_category,views,poster,time,date,news_link
Wike Revokes Senator Lee Maeba’s Land In Port Harcourt,Politics," / , / ,  / , (3278 Views) ",abc115,9:33am,,https://www.nairaland.com/7416398/wike-revokes-senator-lee-maebas
Davido: The Adeleke Generational Curse By Kemi Olunloyo,Celebrities," / , / ,  / , (22933 Views) ",kelvine,9:28pm,Nov 03,https://www.nairaland.com/7415853/davido-adeleke-generational-curse-kemi
Mother & Son NYSC Photos (Before & After),NYSC," / , / ,  / , (22690 Views) ",Jeffy1206,6:44am,,https://www.nairaland.com/7416170/mother-son-nysc-photos-before
Please We Are Sorry. Now We Understand (Pix),Family," / , / ,  / , (37326 Views) ",Adiob200,5:17pm,Nov 03,https://www.nairaland.com/7415546/please-sorry-now-understand-pix
Halima Abubakar Slams Colleagues For Mourning Davido’s Son,Celebrities," / , / ,  / , (22328 Views) ",ISTP,1:20am,,https://www.nairaland.com/7416001/halima-abubakar-slams-colleagues-mourning
Naira Redesign: 3 Governors Under Our Radar Over Stashed Cash – EFCC Chair,Politics," / , / ,  / , (18854 Views) ",dre11,8:30am,,https://www.nairaland.com/7416283/naira-redesign-3-governors-under
"Singapore: 4 Friends Drugged, Raped Each Other's Wives, Congratulated Themselves",Crime," / , / ,  / , (27844 Views) ",RepoMan007,8:08pm,Nov 03,https://www.nairaland.com/7415751/singapore-4-friends-drugged-raped
My 1-week Girlfriend Is About To Turn EX.,Romance," / , / ,  / , (8790 Views) ",Loveisnotenough,8:00am,,https://www.nairaland.com/7416242/1-week-girlfriend-turn-ex
DJ Cuppy & Family Celebrate & Party With Femi Otedola On His 60th Birthday,Celebrities," / , / ,  / , (4774 Views) ",StagethemTVee,9:13am,,https://www.nairaland.com/7416363/dj-cuppy-family-celebrate-party
Bola Tinubu Donates ₦‎100 Million To Victims Of Kogi Flood,Politics," / , / ,  / , (8817 Views) ",abc115,8:49am,,https://www.nairaland.com/7416319/bola-tinubu-donates-100-million
Sanwo-Olu Recites Muslim Surah Fatiha At An Event In Lagos (Video),Politics," / , / ,  / , (19577 Views) ",trutharena,12:44pm,Nov 03,https://www.nairaland.com/7415099/sanwo-olu-recites-muslim-surah-fatiha
"Ladies love-vendor Their Friends To Their Fathers - Ossai Success, Okowa’s Aide Claims",Romance," / , / ,  / , (21634 Views) ",dre11,7:23pm,Nov 03,https://www.nairaland.com/7415700/ladies-love-vendor-friends-fathers-ossai
"Atiku, Firm In Row Over $5.9m Visa Bill Payment",Politics," / , / ,  / , (3025 Views) ",blamingthedevil,9:40am,,https://www.nairaland.com/7416411/atiku-firm-row-over-5.9m
"Drug Barons Assassinating NDLEA Operatives, Says Marwa",Politics," / , / ,  / , (29199 Views) ",ijustdey,7:47pm,Nov 03,https://www.nairaland.com/7415729/drug-barons-assassinating-ndlea-operatives
Foreign Affairs,Politics," / , / , / ,  / , (26641 Views) ",Holiness2100,1:32pm,Nov 03,https://www.nairaland.com/foreign-affairs
Tribunal Accepts Bvas Reports Showing Over-voting Against Adeleke,Politics," / , / ,  / , (39792 Views) ",BluntCrazeMan,7:40pm,Nov 03,https://www.nairaland.com/7415719/tribunal-accepts-bvas-reports-showing
October Half Salary: ASUU To Summon NEC Meeting,Education," / , / ,  / , (13300 Views) ",chokekachy,8:36am,,https://www.nairaland.com/7416302/october-half-salary-asuu-summon
Peter Obi Shows The Documents Of His UK £1M House He Bought In 1996 At 35 (Video,Politics," / , / ,  / , (65237 Views) ",Obisbetter,9:54am,Nov 03,https://www.nairaland.com/7414798/peter-obi-shows-documents-uk
"Lagos Govt, Drivers Meeting Continues Friday, Strike Persists",Politics," / , / ,  / , (10630 Views) ",treesun,9:20am,Nov 03,https://www.nairaland.com/7414747/lagos-govt-drivers-meeting-continues
Five APC Governors In Talks With Atiku - PDP,Politics," / , / ,  / , (32022 Views) ",nairavsdollars,12:39pm,Nov 03,https://www.nairaland.com/7415089/five-apc-governors-talks-atiku
