news,news_category,views,poster,time,month,year,news_link
"European Football (EPL, UEFA, La Liga)",Sports," / , / , / ,  / , (8043 Views) ",TeeGentle,10:49pm,,,https://www.nairaland.com/eurosoccer
"Peter Obi And His Wife, Margaret Obi (Photos)",Politics," / , / ,  / , (14408 Views) ",NaijaRoyalty,3:56pm,,,https://www.nairaland.com/7426576/peter-obi-wife-margaret-obi
Bawa: Court Sets Aside Conviction Of EFCC Boss For Contempt,Politics," / , / ,  / , (12097 Views) ",politicoNG,5:24pm,,,https://www.nairaland.com/7426727/bawa-court-sets-aside-conviction
My Elder Brother Doesn't Send Me Money Except I Lie,Family," / , / ,  / , (15478 Views) ",captainzee4life,12:33pm,,,https://www.nairaland.com/7426239/elder-brother-doesnt-send-me
Peter Obi Visits Scene Of The Fire Incident At Onitsha Market (Pictures),Politics," / , / ,  / , (13611 Views) ",pleasureosondu,7:51pm,,,https://www.nairaland.com/7426896/peter-obi-visits-scene-fire
Nigerians Should Vote Who They Like From Whichever Party - Buhari,Politics," / , / ,  / , (11910 Views) ",NaijaRoyalty,4:45pm,,,https://www.nairaland.com/7426664/nigerians-should-vote-like-whichever
The Food I Bought For 2900. Pics.,Food," / , / ,  / , (11113 Views) ",Blessedmercy8,6:03pm,,,https://www.nairaland.com/7426784/food-bought-2900-pics
Shirsha Adi Dies At 61 (Photo),Politics," / , / ,  / , (8187 Views) ",politicoNG,10:01pm,,,https://www.nairaland.com/7427075/shirsha-adi-dies-61-photo
Buhari: APC Lucky To Have Tinubu As Presidential Candidate,Politics," / , / ,  / , (16808 Views) ",blamingthedevil,2:06pm,,,https://www.nairaland.com/7426402/buhari-apc-lucky-tinubu-presidential
Foreign Affairs,Politics," / , / , / ,  / , (26001 Views) ",WriterNig,7:55pm,,,https://www.nairaland.com/foreign-affairs
Ghana’s Inflation Hits 40.4% In October 2022,Business," / , / ,  / , (16333 Views) ",postbox,6:23pm,,,https://www.nairaland.com/7426807/ghanas-inflation-hits-40.4-october
Foreign Affairs,Politics," / , / , / ,  / , (5486 Views) ",nlfpmod,8:15pm,,,https://www.nairaland.com/foreign-affairs
"'Obidients Wey No Wise Dey Hold Flags For Oshodi, Ones Wey Wise Dey Enter Jets'",Politics," / , / ,  / , (27429 Views) ",nlfpmod,7:21pm,,,https://www.nairaland.com/7426873/obidients-wey-no-wise-dey
Foreign Affairs,Politics," / , / , / ,  / , (33494 Views) ",Fira09,10:22am,,,https://www.nairaland.com/foreign-affairs
Nigeria Police: Say No To Vote Buying & Electoral Violence (Pictures),Politics," / , / ,  / , (10053 Views) ",Onetenth,11:01am,,,https://www.nairaland.com/7426046/nigeria-police-say-no-vote
Young Man Reportedly Commits Suicide In Kaduna,Health," / , / ,  / , (18774 Views) ",OgaDeyVex,11:30am,,,https://www.nairaland.com/7426105/young-man-reportedly-commits-suicide
Foreign Affairs,Politics," / , / , / ,  / , (28545 Views) ",Islie,10:56pm,Nov 09,,https://www.nairaland.com/foreign-affairs
Qatar 2022: World Cup News And Latest Updates,Sports," / , / ,  / , (12275 Views) ",obembet,7:55am,,,https://www.nairaland.com/7425762/qatar-2022-world-cup-news
Winners Of The Big Break Moment Africa Graduate From Del York Creative Academy,TV/Movies," / , / ,  / , (6866 Views) ",GLeesMODEL,8:33am,,,https://www.nairaland.com/7425823/winners-big-break-moment-africa
Court Dissolves 14-year Marriage Over Childlessness,Family," / , / ,  / , (15904 Views) ",deNet,5:22pm,Nov 09,,https://www.nairaland.com/7425104/court-dissolves-14-year-marriage-over
Mother Humiliates Man For Visiting Her Teen Daughter (video),Family," / , / ,  / , (29920 Views) ",emexnaija,11:37am,Nov 09,,https://www.nairaland.com/7424537/mother-humiliates-man-visiting-teen
Missing Person In Port Harcourt: Who Has Seen This Woman? (Pictures),Family," / , / ,  / , (31873 Views) ",4teenblaq,12:44am,,,https://www.nairaland.com/7425548/missing-person-port-harcourt-seen
My Mother's Friend Advised My Mother To Disown Me,Family," / , / ,  / , (15291 Views) ",Messi1,12:29pm,Nov 08,,https://www.nairaland.com/7423044/mothers-friend-advised-mother-disown
The Delicious Egg Sauce I Cooked,Food," / , / ,  / , (21536 Views) ",obagofizzy,1:07pm,Oct 27,,https://www.nairaland.com/7404143/delicious-egg-sauce-cooked
Hon. Chukwudi Ozoeluba Honoured With Outstanding Local Government Chairman Award,Politics," / , / ,  / , (4443 Views) ",Afro3,7:26am,,,https://www.nairaland.com/7425735/hon-chukwudi-ozoeluba-honoured-outstanding
Abia Government Says It's Not Against Peter Obi's Visit To Aba For Rally,Politics," / , / ,  / , (12524 Views) ",Metrix147,9:33am,,,https://www.nairaland.com/7425908/abia-government-says-not-against
My Dad And I Aren't In Good Terms,Family," / , / ,  / , (22644 Views) ",Enacto,4:37pm,Nov 09,,https://www.nairaland.com/7425022/dad-arent-good-terms
What Was Your First Kiss Like? ,Romance," / , / ,  / , (12332 Views) ",FhiBi,5:59pm,Nov 05,,https://www.nairaland.com/7418699/what-first-kiss-like
Soldiers Saved Us From Being Kidnapped On The Lagos-Ibadan Expressway - Lady,Crime," / , / ,  / , (25232 Views) ",nlfpmod,10:07am,,,https://www.nairaland.com/7425949/soldiers-saved-us-being-kidnapped
What’s Your Opinion About Being Betrothed?,Family," / , / ,  / , (9704 Views) ",Haynnie,10:30am,,,https://www.nairaland.com/7425992/whats-opinion-being-betrothed
At 24 I Still Reason Like Teenagers.,Education," / , / ,  / , (15326 Views) ",brightmorningst,12:04am,,,https://www.nairaland.com/7425529/24-still-reason-like-teenagers
Peter Obi Presented With Handmade Shoes by People With Disabilities In Benue,Politics," / , / ,  / , (33351 Views) ",Anambra1stSon,10:06pm,Nov 09,,https://www.nairaland.com/7425431/peter-obi-presented-handmade-shoes
"President Buhari Meets With King Charles III At The Buckingham Palace, UK (pics)",Politics," / , / ,  / , (30850 Views) ",officialwdhtv,1:18am,,,https://www.nairaland.com/7425564/president-buhari-meets-king-charles
UK Nurses To Hold First Strike In History Over Salary Increment,Health," / , / ,  / , (23644 Views) ",damilola4162,10:05am,,,https://www.nairaland.com/7425947/uk-nurses-hold-first-strike
UNN Exam Question After 8 Months Of ASUU Strike (Pictured),Education," / , / ,  / , (47702 Views) ",BeardGangJnr1,6:52am,,,https://www.nairaland.com/7425689/unn-exam-question-after-8
"Transgender Influencer, Nikita Dragun Placed In Men's Unit Of Jail After Arrest",Crime," / , / ,  / , (35903 Views) ",Fira09,10:08am,,,https://www.nairaland.com/7425952/transgender-influencer-nikita-dragun-placed
Portable Introduces His Heavily Pregnant Girlfriend To His Wife,Celebrities," / , / ,  / , (69780 Views) ",yahayausmansr,12:24am,,,https://www.nairaland.com/7425538/portable-introduces-heavily-pregnant-girlfriend
HIV Patient Confesses To Mixing Her Blood With Zobo To Sell To The Public (Video,Health," / , / ,  / , (56620 Views) ",Bvlgari,12:34am,,,https://www.nairaland.com/7425542/hiv-patient-confesses-mixing-blood
Man Confesses To Killing His Brother’s Wife In Edo State (pics/video),Crime," / , / ,  / , (27562 Views) ",Bvlgari,4:39am,,,https://www.nairaland.com/7425625/man-confesses-killing-brothers-wife
Mele Kyari: ₦‎170/Litre Fuel Price Is Impossible,Politics," / , / ,  / , (18376 Views) ",adenigga,11:19am,,,https://www.nairaland.com/7426085/mele-kyari-170-litre-fuel
"Keyamo: Tinubu’s Forfeiture Of $460,000 Was Civil, Not Criminal",Politics," / , / ,  / , (20217 Views) ",hisexcellency34,12:52pm,,,https://www.nairaland.com/7426275/keyamo-tinubus-forfeiture-460000-civil
What Happens To The Babies Born In Baby Factories,Family," / , / ,  / , (15884 Views) ",Two02,10:28am,,,https://www.nairaland.com/7425988/what-happens-babies-born-baby
"APC Campaign Rally In Biu, Borno State In Support Of Tinubu/Shettima (Photos)",Politics," / , / ,  / , (33466 Views) ",abc115,6:30am,,,https://www.nairaland.com/7425673/apc-campaign-rally-biu-borno
How Should I Punish My Brother For Doing This?,Family," / , / ,  / , (33490 Views) ",FeliciaOja,8:09pm,Nov 09,,https://www.nairaland.com/7425299/how-should-punish-brother-doing
My ''One Chance Bus'' Experience,Travel," / , / ,  / , (29737 Views) ",NJPot,7:59pm,Oct 18,2015,https://www.nairaland.com/2674114/one-chance-bus-experience
,Bermuda Triangle Mystery - Facts And Myths," / ,  / , (63680 Views) ",FREEEMANAN,11:43pm,Oct 18,2015,https://www.nairaland.com/2674446/bermuda-triangle-mystery-facts-myths
Davido To Pay Abubakar's School Fees (lovely Photo),Celebrities," / , / ,  / , (64986 Views) ",viviangist4,1:58pm,Oct 19,2015,https://www.nairaland.com/2675732/davido-pay-abubakars-school-fees
Policeman Breaks Students Skull In Ogun (Photo),Crime," / , / ,  / , (46635 Views) ",lolaxavier,7:00pm,Oct 19,2015,https://www.nairaland.com/2676324/policeman-breaks-students-skull-ogun
"Suspected Cultists Butcher Man, Dump Body In Waste Bin In Calabar",Crime," / , / ,  / , (26662 Views) ",ijustdey,7:34pm,Oct 19,2015,https://www.nairaland.com/2676384/suspected-cultists-butcher-man-dump
"Vincent Enyeama, His Wife And Children Enjoy Date Night In Paris (Photos)",Sports," / , / ,  / , (37353 Views) ",mawetoritse,6:28pm,Oct 19,2015,https://www.nairaland.com/2676264/vincent-enyeama-wife-children-enjoy
,See What A Man Was Spotted Doing On Third Mainland Bridge This Morning(pic)," / ,  / , (81412 Views) ",stephenduru,9:20am,Oct 19,2015,https://www.nairaland.com/2675105/see-what-man-spotted-doing
I Married Someone I Don't Trust. What's The Way Out?,Family," / , / ,  / , (32713 Views) ",seunfunmi33,8:14pm,Oct 18,2015,https://www.nairaland.com/2674141/married-someone-dont-trust-whats
Radio Biafra’s Nnamdi Kanu Granted Bail - Vanguard ,Politics," / , / ,  / , (67766 Views) ",Leopardd,7:55pm,Oct 19,2015,https://www.nairaland.com/2676434/radio-biafras-nnamdi-kanu-granted
You Lack Depth On Your Job – Metuh Slams Adesina,Politics," / , / ,  / , (20007 Views) ",lolaxavier,3:42pm,Oct 19,2015,https://www.nairaland.com/2675960/lack-depth-job-metuh-slams
Did Jumia Lay Off 50 Staff In The Most Unsavory Manner?,Career," / , / ,  / , (25942 Views) ",lalasticlala,9:13pm,Oct 19,2015,https://www.nairaland.com/2676583/did-jumia-lay-off-50
This Photo Of Actress Mercy Aigbe Has Got People Talking,Celebrities," / , / ,  / , (67292 Views) ",Goldrushnigeria,4:33pm,Oct 19,2015,https://www.nairaland.com/2676051/photo-actress-mercy-aigbe-got
Buhari Meets With Service Chiefs At The State House (Photos),Politics," / , / ,  / , (26441 Views) ",coninse,7:28pm,Oct 19,2015,https://www.nairaland.com/2676380/buhari-meets-service-chiefs-state
"There Is Nothing Like ""True Love""",Romance," / , / ,  / , (32054 Views) ",uncjay,6:19pm,Oct 18,2015,https://www.nairaland.com/2673962/there-nothing-like-true-love
My Husband Denies Me Sex And Affection...its Killing Me,Family," / , / ,  / , (77031 Views) ",Hi55,10:26pm,Oct 18,2015,https://www.nairaland.com/2674351/husband-denies-me-sex-affection...its
Emmanuel Emenike Retires From The National Team,Sports," / , / ,  / , (48845 Views) ",elbinmanny,10:51pm,Oct 19,2015,https://www.nairaland.com/2676733/emmanuel-emenike-retires-national-team
#Nnamdikanu Trending In Nigeria After 'arrest' - BBC,Politics," / , / ,  / , (43887 Views) ",chesterlee,4:05pm,Oct 19,2015,https://www.nairaland.com/2676007/nnamdikanu-trending-nigeria-after-arrest
See This Photo Of D’banj & Dotun Cool Fm Few Years Ago,Celebrities," / , / ,  / , (28844 Views) ",bolajioginni,1:05pm,Oct 19,2015,https://www.nairaland.com/2675623/see-photo-dbanj-dotun-cool
,"Louise Jaiyeola Oduyoye Develops Neva, An Emergency Power Backup For Surgeons"," / ,  / , (29673 Views) ",CR77,1:39pm,Oct 19,2015,https://www.nairaland.com/2675694/louise-jaiyeola-oduyoye-develops-neva
Judgement In Saraki’s Appeal Adjourned Indefinitely,Politics," / , / ,  / , (35204 Views) ",midolian,2:18pm,Oct 19,2015,https://www.nairaland.com/2675772/judgement-sarakis-appeal-adjourned-indefinitely
Emir Sanusi Rides She-Camel - see pix,Politics," / , / ,  / , (72252 Views) ",Abbeyme,11:17am,Oct 19,2015,https://www.nairaland.com/2675373/emir-sanusi-rides-she-camel-see
"""I Call On President Buhari To Release Nnamdi Kanu"" -- Femi Fani-kayode",Politics," / , / ,  / , (54886 Views) ",Ndlistic,1:32pm,Oct 19,2015,https://www.nairaland.com/2675680/call-president-buhari-release-nnamdi
AY Comedian Question Of The Day - (very Funny),Celebrities," / , / ,  / , (34932 Views) ",vivianblog1,11:39am,Oct 17,2015,https://www.nairaland.com/2671483/ay-comedian-question-day-very
Ifa Worshippers Offer To Fight Boko Haram,Politics," / , / ,  / , (31890 Views) ",FOLYKAZE,9:45am,Oct 19,2015,https://www.nairaland.com/2675153/ifa-worshippers-offer-fight-boko
Yakubu Gowon Celebrates 81st Birthday Today!,Politics," / , / ,  / , (16444 Views) ",lalasticlala,7:48am,Oct 19,2015,https://www.nairaland.com/2674883/yakubu-gowon-celebrates-81st-birthday
71-year-old Man Rapes Runaway Pupil In Ogun (Pictured),Crime," / , / ,  / , (43330 Views) ",Islie,10:25am,Oct 19,2015,https://www.nairaland.com/2675251/71-year-old-man-rapes-runaway-pupil
Cynthia Uwak Ditches Her Tomboy Outfits For Sexy Female Dresses (Photos),Sports," / , / ,  / , (53985 Views) ",midehi2,9:48pm,Oct 19,2015,https://www.nairaland.com/2676638/cynthia-uwak-ditches-tomboy-outfits
"9 Ways Students Waste Money, Possible Solutions",Education," / , / ,  / , (24276 Views) ",zico124,6:23am,Oct 19,2015,https://www.nairaland.com/2674728/9-ways-students-waste-money
,"Photos: Popular Nairalanders, Silverdam And Mrvocalprowess Hang Out..."," / ,  / , (39605 Views) ",silverdam,9:11pm,Oct 18,2015,https://www.nairaland.com/2674229/photos-popular-nairalanders-silverdam-mrvocalprowess
Policeman Defiles 3yr-old Girl In Ebonyi,Crime," / , / ,  / , (15643 Views) ",Islie,10:09pm,Oct 18,2015,https://www.nairaland.com/2674331/policeman-defiles-3yr-old-girl-ebonyi
This Is Bad News For Fixed Deposit Holder,Investment," / , / ,  / , (86479 Views) ",Bj5all,2:29pm,Oct 16,2015,https://www.nairaland.com/2669816/bad-news-fixed-deposit-holder
Why We Jailed Gen. Ransome-kuti – Army,Politics," / , / ,  / , (44588 Views) ",DelticStephEn,8:53pm,Oct 18,2015,https://www.nairaland.com/2674196/why-jailed-gen-ransome-kuti-army
Deloris Frimpong Manso: I Would Love To Make Love 10 Times A Week,Celebrities," / , / ,  / , (60560 Views) ",miney,8:48am,Oct 19,2015,https://www.nairaland.com/2675022/deloris-frimpong-manso-love-make
"Boko Haram Storms Adamawa Village, Kills 12",Politics," / , / ,  / , (14054 Views) ",zik4ever,9:47pm,Oct 18,2015,https://www.nairaland.com/2674306/boko-haram-storms-adamawa-village
AngeeGift Wins Silverbird’s Mother-Daughter Pageant Nigeria (MDPN) (Photos),Fashion," / , / ,  / , (57411 Views) ",JAZES,10:04pm,Oct 18,2015,https://www.nairaland.com/2674324/angeegift-wins-silverbirds-mother-daughter-pageant
"12,700 Dump APC For PDP In Kogi",Politics," / , / ,  / , (24253 Views) ",Okimski,10:38pm,Oct 18,2015,https://www.nairaland.com/2674373/12700-dump-apc-pdp-kogi
Photo!!! How Many Of You Have Experienced This,Jobs/Vacancies," / , / ,  / , (40759 Views) ",Rich4god,7:08pm,Oct 18,2015,https://www.nairaland.com/2674037/photo-how-many-experienced
"If SARAKI Can Preside, Then AMAECHI Should Pass",Politics," / , / ,  / , (16350 Views) ",nex,9:36pm,Oct 18,2015,https://www.nairaland.com/2674278/saraki-preside-then-amaechi-should
Daura Motel: The Only Hotel In Buhari’s Town In Deplorable State,Politics," / , / ,  / , (37801 Views) ",HungerBAD,3:28am,Oct 19,2015,https://www.nairaland.com/2674576/daura-motel-only-hotel-buharis
"""Nigeria Finally Plays Into The Grand Strategy Of Biafrans"" - Vanguard",Politics," / , / ,  / , (62216 Views) ",cybertyrant,3:23pm,Oct 18,2015,https://www.nairaland.com/2673640/nigeria-finally-plays-into-grand
Nigerian Pharmacist Reveals What Constant Sex Will Do To You,Health," / , / ,  / , (109123 Views) ",OZAOEKPE,5:21pm,Oct 18,2015,https://www.nairaland.com/2673854/nigerian-pharmacist-reveals-what-constant
"Refineries Operated At 10% Capacity In August, Recorded N31.7bn Loss",Politics," / , / ,  / , (12704 Views) ",powerfulsettingz,6:23am,Oct 19,2015,https://www.nairaland.com/2674729/refineries-operated-10-capacity-august
"APC, PDP Senators Set For Battle Over Amaechi",Politics," / , / ,  / , (23511 Views) ",kahal29,3:15am,Oct 19,2015,https://www.nairaland.com/2674569/apc-pdp-senators-set-battle
"Okorocha Has Abandoned Imo For His Son-in-law, He Should Resign – Onuegbu ",Politics," / , / ,  / , (24992 Views) ",DONSMITH123,8:09am,Oct 19,2015,https://www.nairaland.com/2674924/okorocha-abandoned-imo-son-in-law-he
"Mass Sack, Demotion Looms In Customs",Career," / , / ,  / , (24983 Views) ",Emmysteve,6:58am,Oct 19,2015,https://www.nairaland.com/2674788/mass-sack-demotion-looms-customs
Grammatical Murders Committed During Ministerial Screening - Farooq Kperogi,Education," / , / ,  / , (52548 Views) ",makzeze,10:39pm,Oct 18,2015,https://www.nairaland.com/2674374/grammatical-murders-committed-during-ministerial
Nigeria Is Being Threatened - Chief Of Army Staff Buratai,Politics," / , / ,  / , (30919 Views) ",Monimatic,12:15am,Oct 19,2015,https://www.nairaland.com/2674490/nigeria-being-threatened-chief-army
Linda Ikeji Inside Her New House - Photo,Celebrities," / , / ,  / , (80690 Views) ",vivianblog3,8:16pm,Oct 17,2015,https://www.nairaland.com/2672266/linda-ikeji-inside-new-house
Rccg Scholaship/bursary,Education," / , / ,  / , (42924 Views) ",Fynestboi,6:40pm,Oct 17,2015,https://www.nairaland.com/2672130/rccg-scholaship-bursary
10 Rules Guys Must Adhere To When Chatting With Girls On Social Networks,Romance," / , / ,  / , (52203 Views) ",IamLEGEND1,7:39pm,Oct 17,2015,https://www.nairaland.com/2672219/10-rules-guys-must-adhere
Buhari’s Ministerial List Shows That He Belongs To Somebody – Cardinal Okogie,Religion," / , / ,  / , (41303 Views) ",erunz,6:17pm,Oct 17,2015,https://www.nairaland.com/2672102/buharis-ministerial-list-shows-he
Ambassador Wahala As Patience Jonathan Vs. Seyi Law (Funny Video),Celebrities," / , / ,  / , (25988 Views) ",wapmingle,11:44am,Oct 17,2015,https://www.nairaland.com/2671490/ambassador-wahala-patience-jonathan-vs
Korede Bello Over Swagg Photo (the Faceless),Celebrities," / , / ,  / , (37226 Views) ",vivianblog3,8:00pm,Oct 17,2015,https://www.nairaland.com/2672248/korede-bello-over-swagg-photo
Caption This Photo of Omotola Jalade Ekeinde Dancing,Celebrities," / , / ,  / , (55695 Views) ",ketekete,4:37pm,Oct 17,2015,https://www.nairaland.com/2671954/caption-photo-omotola-jalade-ekeinde
Que Peller Becomes First Nigerian Artiste To Perform Magic On Stage,Celebrities," / , / ,  / , (42451 Views) ",madridguy,5:34pm,Oct 17,2015,https://www.nairaland.com/2672036/que-peller-becomes-first-nigerian
Why Femi Falana Was Not Made A Minister - Sahara Reporters,Politics," / , / ,  / , (51341 Views) ",melvinjames,8:23pm,Oct 17,2015,https://www.nairaland.com/2672276/why-femi-falana-not-made
"Yoruba, Igbo, Edo & America: Couple Showcase Four Cultures In Photoshoot",Romance," / , / ,  / , (34578 Views) ",AmicableEd,9:47am,Oct 12,2015,https://www.nairaland.com/2659720/yoruba-igbo-edo-america-couple
U-17 World Cup: Nigeria Vs USA (2 - 0) On 17th October 2015,Sports," / , / ,  / , (55738 Views) ",Omooba77,10:47pm,Oct 10,2015,https://www.nairaland.com/2656768/u-17-world-cup-nigeria-vs
El-rufai To Critics : GO AND DIE If You're Not Happy Over My Appointees,Politics," / , / ,  / , (37443 Views) ",talktimi,9:30pm,Oct 17,2015,https://www.nairaland.com/2672370/el-rufai-critics-go-die-youre
Robbers Dug Tunnel To Enter Bank In Akure – Police (Picture),Crime," / , / ,  / , (54814 Views) ",dre11,8:32am,Oct 19,2015,https://www.nairaland.com/2674982/robbers-dug-tunnel-enter-bank
Majek Fashek@ Felabration: Dragging The Legend Back To Rehab,Celebrities," / , / ,  / , (45013 Views) ",Towncrier247,9:19pm,Oct 17,2015,https://www.nairaland.com/2672359/majek-fashek-felabration-dragging-legend
"Buhari: President And Assets Declaration Fraud"" - By Chinedu Nwobu (Daily Times)",Politics," / , / ,  / , (22832 Views) ",Nnemuka,6:58am,Oct 19,2015,https://www.nairaland.com/2674786/buhari-president-assets-declaration-fraud
Augustine University: First Catholic University In Lagos Opens,Education," / , / ,  / , (83440 Views) ",Adeyeancah,10:40pm,Oct 17,2015,https://www.nairaland.com/2672478/augustine-university-first-catholic-university
Major Causes Of Sleepless Night.,Health," / , / ,  / , (40654 Views) ",ferdvict2,3:57am,Sep 15,2015,https://www.nairaland.com/2600042/major-causes-sleepless-night
FRSC Disowns Traffic Offender Arrested By Governor Fayose,Politics," / , / ,  / , (22316 Views) ",londonrivals,2:14pm,Oct 17,2015,https://www.nairaland.com/2671732/frsc-disowns-traffic-offender-arrested
My Military Officer Friend Proposed To His Lawyer Girlfriend,Romance," / , / ,  / , (57978 Views) ",adepiero,4:34am,Oct 19,2015,https://www.nairaland.com/2674600/military-officer-friend-proposed-lawyer
Cameroon Girls Take Over Calabar Sex Market,Romance," / , / ,  / , (75731 Views) ",melvinjames,8:57pm,Oct 17,2015,https://www.nairaland.com/2672326/cameroon-girls-take-over-calabar
"Tinubu, Akande Made My Appointment Possible – Lawal, SGF",Politics," / , / ,  / , (29113 Views) ",gwales,7:33am,Oct 18,2015,https://www.nairaland.com/2672851/tinubu-akande-made-appointment-possible
